problem_name,method,seed,f1,f2
zdt1,ParEGO,0,0.0,1.0
zdt1,ParEGO,0,1.0,0.0
zdt1,ParEGO,0,0.8405287296610892,0.09787601432329393
zdt1,ParEGO,0,0.7889443659681692,0.11177459731880601
zdt1,ParEGO,0,0.7239394652739979,0.14915367705207905
zdt1,ParEGO,0,0.6709759874754422,0.180868760530132
zdt1,ParEGO,0,0.6288954908281398,0.20697068728316237
zdt1,ParEGO,0,0.5947463066894723,0.22880203145400324
zdt1,ParEGO,0,0.5652623022225701,0.24816072048437765
zdt1,ParEGO,0,0.5392840614990521,0.26564037318283074
zdt1,ParEGO,0,0.5167634702717092,0.28113737733019584
zdt1,ParEGO,0,0.029215138609915346,0.8290756348266423
zdt1,ParEGO,0,0.26896757398128424,0.481379161639947
zdt1,ParEGO,0,0.014850883126476025,0.8781358004725095
zdt1,ParEGO,0,0.4855951428374513,0.3031534294857645
zdt1,ParEGO,0,0.01786886615744252,0.8663255216675878
zdt1,ParEGO,0,0.46220786993025725,0.3201412867880141
zdt1,ParEGO,0,0.019603856073778993,0.8599862289852209
zdt1,ParEGO,0,0.4418963158876433,0.3352471768486851
zdt1,ParEGO,0,0.02132933562605425,0.8539543371884867
zdt1,ParEGO,0,0.42483690518501394,0.3482048594957048
zdt1,ParEGO,0,0.022672790841471037,0.8494251321054173
zdt1,ParEGO,0,0.4092788896936274,0.36025091661368724
zdt1,ParEGO,0,0.02388166523604188,0.8454630619041458
zdt1,ParEGO,0,0.39525586511247474,0.3713062231002483
zdt1,ParEGO,0,0.0250526550813621,0.8417196945878543
zdt1,ParEGO,0,0.3820814239386686,0.3818726474757256
zdt1,ParEGO,0,0.026331574426511344,0.8377299336707126
zdt1,ParEGO,1,0.0,1.0
zdt1,ParEGO,1,1.0,0.0
zdt1,ParEGO,1,0.7951456217499999,0.12073132265422859
zdt1,ParEGO,1,0.8482487643995235,0.07899578480903602
zdt1,ParEGO,1,0.7412998434690785,0.13901228611026129
zdt1,ParEGO,1,0.6901014406042726,0.1692765558838052
zdt1,ParEGO,1,0.6476758933188664,0.19521686565953278
zdt1,ParEGO,1,0.6151268069380074,0.21569979794851046
zdt1,ParEGO,1,0.5865816460310653,0.23411381652946284
zdt1,ParEGO,1,0.5611710351209686,0.25088650050812156
zdt1,ParEGO,1,0.5380079353550044,0.2665097578324547
zdt1,ParEGO,1,0.029414520721834588,0.8284933799474942
zdt1,ParEGO,1,0.27496947235956004,0.47562468368585464
zdt1,ParEGO,1,0.016685984172920946,0.8708257604128402
zdt1,ParEGO,1,0.5053263196506879,0.2891369191956247
zdt1,ParEGO,1,0.01962162300990423,0.8599227962518374
zdt1,ParEGO,1,0.4714826617548307,0.31335404919650856
zdt1,ParEGO,1,0.449043153187644,0.32989317777861416
zdt1,ParEGO,1,0.023404923503199886,0.8470133224649941
zdt1,ParEGO,1,0.4314311435227888,0.3431658173307446
zdt1,ParEGO,1,0.02556341497781913,0.8401143690702034
zdt1,ParEGO,1,0.41590656254371355,0.35509181851699734
zdt1,ParEGO,1,0.02698715609257152,0.8357223201631715
zdt1,ParEGO,1,0.40233204473789297,0.3657035040788157
zdt1,ParEGO,1,0.02822782560666376,0.8319886146516738
zdt1,ParEGO,2,0.0,1.0
zdt1,ParEGO,2,1.0,0.0
zdt1,ParEGO,2,0.7864743066605661,0.13208037891135835
zdt1,ParEGO,2,0.8471365291053996,0.07959979948644103
zdt1,ParEGO,2,0.1237696649667395,0.6481908685569127
zdt1,ParEGO,2,0.505699635593592,0.2888743883155438
zdt1,ParEGO,2,0.7415620049808577,0.13886005493830578
zdt1,ParEGO,2,0.6929919500937634,0.16753861945807758
