problem_name,method,seed,acq_type,iteration,evaluations,hypervolume,ideal_hypervolume,normalized_hypervolume,gd,igd,spacing,coverage,pareto_size,best_f1,best_f2,acq_value,acq_label,candidate_x,new_y_model_space,new_y_minimization,posterior_mean,posterior_std,train_size,parego_weights,parego_probe_max
zdt1,ParEGO,0,ParEGO,0,20,0.010000000000000018,0.8683145333564439,0.011516564120314002,0.0,0.39212259944322403,0.0,1.0,2,0.0,0.0,,,,,,,,,,
zdt1,ParEGO,0,ParEGO,1,21,0.11061846834659532,0.8683145333564439,0.12739446836044876,0.027790001945482746,0.264083892246767,0.3802772563137242,1.0,3,0.0,0.0,-5.067260317696073,qLogNEI,"[0.7821236858281129, 0.019109245370752797, 0.022965909038347884, 0.0003517582030863086, 0.016956725543547664, 0.03345530713086994]","[-0.7821236858281129, -0.21169163070593502]","[0.7821236858281129, 0.21169163070593502]","[-0.8492102058001539, -0.02514121234179667]","[0.16036494596070702, 0.4022580716227073]",21,"[[0.001, 0.999]]",[-6.7220522233687525]
zdt1,ParEGO,0,ParEGO,2,22,0.11061846834659532,0.8683145333564439,0.12739446836044876,0.027790001945482746,0.264083892246767,0.3802772563137242,1.0,3,0.0,0.0,-5.489205919987748,qLogNEI,"[0.0, 0.2234530821698175, 0.3685026092102735, 0.23518852406316326, 0.2730534603616383, 0.134392061846696]","[-0.0, -3.2222615277728597]","[0.0, 3.2222615277728597]","[0.07720299857452567, -2.308777834370009]","[0.13359234664573666, 0.825916758800417]",22,"[[0.999, 0.0010000000000000009]]",[-6.205152774604631]
zdt1,ParEGO,0,ParEGO,3,23,0.11956499320551706,0.8683145333564439,0.13769779107962427,0.05464010717110124,0.264083892246767,0.4054279319274802,1.0,4,0.0,0.0,-6.485180913484383,qLogNEI,"[0.9960086138138944, 0.0, 0.0, 0.0, 0.0, 0.1583379796647544]","[-0.9960086138138944, -0.15369081347263547]","[0.9960086138138944, 0.15369081347263547]","[-0.9980126368308115, -0.17611156327145405]","[0.05565074209033038, 0.34371794471036915]",23,"[[0.008858267716535435, 0.9911417322834646]]",[-8.436953827551521]
zdt1,ParEGO,0,ParEGO,4,24,0.11956499320551706,0.8683145333564439,0.13769779107962427,0.05464010717110124,0.264083892246767,0.4054279319274802,1.0,4,0.0,0.0,-6.156127677513043,qLogNEI,"[0.0, 0.2518764890460841, 0.0, 0.0, 0.0, 0.3786191170253232]","[-0.0, -2.134892090928533]","[0.0, 2.134892090928533]","[0.02573668936716511, -1.845548227033968]","[0.08527792023634478, 0.6443484473145003]",24,"[[0.9911417322834646, 0.008858267716535417]]",[-6.982607334626589]
zdt1,ParEGO,0,ParEGO,5,25,0.27850351356293074,0.8683145333564439,0.3207403571680226,0.06699871061008202,0.2392762584979468,0.36278290832170235,1.0,5,0.0,0.0,-6.6784654652129944,qLogNEI,"[0.7298608787468951, 0.0, 0.0, 0.12670915097740423, 0.0, 0.0]","[-0.7298608787468951, -0.28133206441030634]","[0.7298608787468951, 0.28133206441030634]","[-0.706314584998367, -0.4080919254337716]","[0.05420878247510724, 0.3740797692172991]",25,"[[0.01671653543307087, 0.9832834645669292]]",[-9.005252559751764]
zdt1,ParEGO,0,ParEGO,6,26,0.27850351356293074,0.8683145333564439,0.3207403571680226,0.06699871061008202,0.2392762584979468,0.36278290832170235,1.0,5,0.0,0.0,-6.68986407379724,qLogNEI,"[0.0, 0.0, 0.0, 0.0, 0.30321650372049813, 0.0]","[-0.0, -1.5457897066968966]","[0.0, 1.5457897066968966]","[0.008874894057185001, -1.5707476197729555]","[0.06075157583103439, 0.5166473792257706]",26,"[[0.9832834645669292, 0.016716535433070834]]",[-8.466565896104676]
zdt1,ParEGO,0,ParEGO,7,27,0.29491268004257165,0.8683145333564439,0.3396380789603918,0.04253734563172155,0.22790434092481576,0.3626564696526614,1.0,5,0.0,0.0,-6.214940409379656,qLogNEI,"[0.8405287296610892, 0.0, 0.0, 0.014973591462895876, 0.0, 0.0]","[-0.8405287296610892, -0.09787601432329393]","[0.8405287296610892, 0.09787601432329393]","[-0.8519981194150776, -0.09969605500110967]","[0.022898114936131427, 0.06615182065100762]",27,"[[0.024574803149606302, 0.9754251968503937]]",[-39.45352128322475]
zdt1,ParEGO,0,ParEGO,8,28,0.29491268004257165,0.8683145333564439,0.3396380789603918,0.04253734563172155,0.22790434092481576,0.3626564696526614,1.0,5,0.0,0.0,-7.395389991391253,qLogNEI,"[0.0, 0.0, 0.0, 0.2432880393178072, 0.0, 0.0]","[-0.0, -1.437918470772053]","[0.0, 1.437918470772053]","[0.008057357416698718, -1.411253022213049]","[0.043602443527725146, 0.36576054761502186]",28,"[[0.9754251968503937, 0.02457480314960625]]",[-10.380809468638423]
zdt1,ParEGO,0,ParEGO,9,29,0.31443893374525145,0.8683145333564439,0.3621256142400348,0.03544785643017155,0.2245928642154528,0.34972724578155656,1.0,6,0.0,0.0,-6.877039208116646,qLogNEI,"[0.7889443659681692, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.7889443659681692, -0.11177459731880601]","[0.7889443659681692, 0.11177459731880601]","[-0.7840986716620432, -0.1450248351981247]","[0.007052426783088405, 0.03380007226739635]",29,"[[0.032433070866141736, 0.9675669291338582]]",[-39.007747286696656]
